TNGA1 SC to FS32		
at	cue	for
21.14	Parking area. Turn right and continue on FS90B.	1.43
22.57	Old roadbed ends. Singletrack begins. Continue on singletrack.	1.64
24.21	Intersection with Mulberry Gap Road. Turn right and proceed northwest on Mulberry Gap Road.	1.1
25.31	Intersection with Pinhoti Trail to left. Sometimes it’s a bit overgrown here and may be tricky to spot. Turn left and proceed uphill on Pinhoti Trail.	3.66
28.97	Intersection with Hwy 52. Turn right and proceed west on Hwy 52.	0.42
29.39	Intersection with Pinhoti Trail. Turn left and proceed southwest on Pinhoti Trail.	0.72
30.11	Intersection with roadbed. Stay right/straight on roadbed.	0.26
30.37	Intersection with Tatum Lead Road. Go around gate, turn left and proceed south on Tatum Lead Road.	0.34
30.71	Tatum Lead Road becomes a 4WD trail. Continue, avoiding trails to either side.	1.77
32.48	Intersection with Pinhoti Trail. Turn right and proceed downhill on Pinhoti Trail. Use caution, this trail is fast and suddenly rocky at times.	1.51
33.98	Field/Food Plot. This clearing is often full of tall grass and difficult to tell where to go. Bear very slight right and proceed directly across to pick up the trail on the other side. The trail there is wide and obvious. You’ll need to cross a creek immediately upon exiting the field. Proceed west on that trail.	0.61
34.59	Gate. Proceed around gate. Trail becomes FS3 (unmarked at this end). Continue west on FS3.	0.86
35.45	Intersection with FS3A. Turn right and continue on FS3.	1.33
36.78	4wd jeep road intersects on Left. Go around gate and follow road	1.72
38.5	Trail intersects on Right. Stay straight on jeep rd	3
41.5	Jeep road becomes singletrack Dennis Mill trail. Continue on singletrack	3
44.5	Singletrack ends at Dennis Mill Trailhead. Proceed across gravel lot to Dennis Mill Rd	0.01
44.51	Take Dennis Mill Rd to the Right	1.28
45.79	Intersection of Old Federal Rd. Turn left on Old Federal	1.14
46.93	Intersection of Hwy 411. Finish TNGA 7.	0
		
TNGA 8		
at	cue	for
0	Start. Intersection of Old Federal Road and Hwy 411. If you just came down Old Federal Road, turn right. Proceed north on Hwy 411 briefly, then turn left and proceed west on Smyrna/Ramhurst Road.	0.33
0.33	Intersection with Ball Ground Road. Bear left onto Ball Ground Road.	1.36
1.69	Intersection with Connally Road. Turn right and proceed west on Connally Road.	1.47
3.16	Intersection with Berry Bennett Road. Continue straight on Berry Bennett Road.	2.13
5.29	Intersection with Smyrna Church Road. Continue straight on Smyrna Church Road.	0.78
6.06	Intersection with Hwy 225. Cross Hwy 225. Road becomes Browns Bridge Road. Continue on Browns Bridge Road.	1.81
7.87	Intersection with Browns Bridge Road SE. Continue straight on Browns Bridge Road SE.	1.81
9.68	Intersection with Airport Road. Bear right and continue northwest on Airport Road.	5.88
15.56	Intersection with Hwy 52. Turn left and proceed southwest on Hwy 52. Pass through the city of Dalton.	4.17
19.73	Hwy 52 crosses I-75. Hwy 52 becomes Dug Gap Road. Continue on Dug Gap Road.	1.88
21.61	Intersection with FS202. Finish TNGA 8.	0
		
TNGA 9		
at	cue	for
0	Start. Intersection of Dug Gap Road and FS202. If you just came up Dug Gap Road, turn left. Proceed on FS202.	0.64
0.64	Radio antennas. Bear left onto singletrack. Proceed south on Pinhoti trail through extremely rocky terrain.	3.47
4.11	Pinhoti trail joins another trail. Bear left and proceed on combined trail briefly, then turn right and continue on Pinhoti trail.	3.98
8.09	Intersection with FS207A (not marked at this intersection). Turn right almost 180 degrees and proceed north on FS207A.	1.24
9.33	Bear right on short strip of singletrack and join old roadbed. Bear right on old roadbed. Cross several creeks.	1.33
10.66	Begin climb to ridgeline. Old roadbed gets narrower and narrower and eventually becomes singletrack.	4.58
15.24	Snake Creek Gap parking lot. Cross parking lot, cross road and proceed west on Pinhoti trail.	3.35
18.59	Trail intersects from the left and joins Pinhoti trail. Turn right and continue downhill.	0.04
18.64	Turn left and proceed on Pinhoti trail.	0.91
19.55	Pilcher Pond Trail continues ahead. Turn right and continue on Pinhoti Trail.	1.23
20.78	Intersection with Pocket Road. Cross Pocket Road and continue northwest on Pinhoti Trail.	1.51
22.29	Intersection with FS208 (unmarked at this intersection). Turn right and proceed on FS208.	1.08
23.36	Intersection with Pinhoti Trail. Turn right and proceed downhill on Pinhoti Trail.	2.51
25.87	Intersection with FS310 (unmarked at this intersection). Turn hard left and continue on FS310.	1.85
27.72	Go around gate, bear left, cross creek. Continue for a short distance on FS310.	0.07
27.79	Pinhoti trail intersects from left. Turn left and proceed southwest on old roadbed.	1.2
28.99	Intersection with singletrack. This intersection is easy to miss. Turn right and continue on singletrack.	1.12
30.11	Small parking lot. Intersection with East Amurchee Road. Finish TNGA 9.	0
		
TNGA 10		
at	cue	for
0	Start. Intersection of Pinhoti trail and East Amurchee Road. If you just came off of the Pinhoti, turn left. Proceed south on East Amurchee Road.	0.28
0.28	Intersection with Manning Mill Road. Turn right and proceed on Manning Mill Road.	0.82
1.1	Intersection with FS227. Turn left and continue west on FS227. Cross creek.	0.11
1.21	Pinhoti parking lot. Turn left, proceed through parking lot. Go over dirt mound, look for Pinhoti trail markers to the right (easy to miss) and bear right onto Pinhoti trail. Cross power line cut twice.	0.42
1.62	Intersection with FS227A (unmarked at this intersection and easy to miss). Bear hard right and climb. FS227A is just a trail here but eventually widens and becomes a roadbed.	1.48
3.1	Intersection with FS227. Cross FS227 and continue on Pinhoti singletrack.	1.28
4.38	Intersection with FS269 (unmarked at this intersection). Bear right and proceed on FS269.	1.37
5.75	Intersection with West Amurchee Road. Turn left and proceed south on West Amurchee Road.	0.26
6.01	Intersection with Narrows Picnic Road. Turn right and continue on Narrows Picnic Road.	1.73
7.73	Narrows Picnic Road becomes unpaved FS259. Continue southwest on FS259.	0.28
8.01	Narrows Picnic Area parking lot. Look for stone pillar on left hand side of road. Parking lot is on the right. Bear right into parking lot. Proceed north on Pinhoti singletrack.	0.88
8.89	Intersection with FS259. Bear right and proceed south on FS259.	0.53
9.42	Multi-way intersection. FS259 proceeds downhill ahead to the left. Continue on FS259.	0.21
9.63	Intersection with Pinhoti Trail. This intersection is not very obvious. Trail marker may be missing. Bear right, go around dirt mount, proceed uphill on doubletrack.	0.74
10.37	Top of ridge. Bear left and continue downhill on Pinhoti Trail.	1.98
12.35	Intersection with FS259 (unmarked at this intersection). Pinhoti trail marker may be missing at this intersection. Turn right and proceed southwest on FS259.	0.74
13.08	FS259 becomes doubletrack. Continue on doubletrack which will eventually become singletrack and then doubletrack again.	1.5
14.58	Doubletrack becomes FS254. Continue on FS254.	2.63
17.21	Pinhoti trail to right. This intersection is well marked. Turn right and proceed on Pinhoti singletrack.	0.61
17.82	Intersection with Hwy 27. Cross Hwy 27. Proceed west, uphill on FS205.	0.46
18.28	Intersection with FS205A. Turn right and continue uphill on FS205A.	0.3
18.58	Pinhoti trail intersects from left. This intersection may be hard to find. Bear left and continue on Pinhoti trail.	4.42
23	Intersection with FS201. Stay straight/left and continue southwest on FS201.	2.19
25.19	Intersection with Pinhoti singletrack. Bear left and proceed downhill on singletrack.	1.86
27.05	High Point parking lot, intersection with Hwy 100. Cross parking lot, turn left and proceed south on Hwy 100.	1.05
28.1	Intersection with Starling Mill Road. Turn right and proceed northwest on Starling Mill Road.	0.2
28.3	Intersection with Pinhoti trail. Trail follows old railbed. Turn left and proceed on Pinhoti trail.	1
29.3	Intersection with Worsham Road. Pinhoti diverges from old railbed (which crosses private property) and rejoins at the end of the fence line. Continue on Pinhoti trail.	1.04
30.34	Pinhoti crosses 2 roads and passes through small group of homes and old buildings. Continue southwest on Pinhoti trail.	5.12
35.45	Intersection with Hwy 100. Simms Mountain trail is across the road. Finish TNGA 10.	0
		
TNGA 11		
at	cue	for
0	Start. Cross Hwy 100 onto Simms Mountain Trail (still Pinhoti).	1.8
1.8	Cross Friday Road	1.5
3.3	Cross Big Texas Valley Road	0.7
4	Right on Huffaker Rd	2.6
6.6	Left on Hwy 20	1.4
8	Right on Rome Bypass	5.8
13.8	Right on Blacks Bluff Road	4.6
18.4	Left on Spout Springs Rd	2.5
20.9	Right on Mills Rd	2.3
23.2	Left on Alabama Street	0.4
23.6	Right on Rolater Drive	0.3
23.9	Left on Old Cedartown Rd	2.4
26.3	Right on Estate Road, Gate, Gravel Follow Pinhoti Blazes	2.2
28.5	Cross Santa Claus Road, Dirt	0.5
29	Cross Hwy 100, Paved	0.7
29.7	Left on Esom Hill Road	1.7
31.4	Cross Prior Station Road	2.3
33.7	Esom Hill Road becomes McBeck Road	1.3
35	Stay straight	1.3
36.3	Right on Hwy 278	0.2
36.5	Left on Lumpkin Rd	0.2
36.7	Right on Silver Comet Trail	1.5
38.2	AL State Line. Finish TNGA.	0
		
